id,approved,analysis_status,kind,month,registration_image,comparision_image,similarity,time,r_image_confidence,c_image_confidence
c1f483cd-0ead-4c83-bd7f-2434e89cd7ba,1,BIOMETRIC_AUTHENTICATED,MANUAL_BY_BIOMETRIC_FACE,10,c1f483cd-0ead-4c83-bd7f-2434e89cd7ba_selfie.jpeg,c1f483cd-0ead-4c83-bd7f-2434e89cd7ba_transaction_selfie.jpeg,0.77,3.08,0.86,0.86
81e61bb8-dcde-4334-a43c-a9d4d7b03a4b,1,BIOMETRIC_TRANSACTION_BAD_QUALITY,MANUAL_BY_BIOMETRIC_FACE,10,81e61bb8-dcde-4334-a43c-a9d4d7b03a4b_selfie.jpeg,81e61bb8-dcde-4334-a43c-a9d4d7b03a4b_transaction_selfie.jpeg,0.73,0.35,0.63,0.86
9be3c172-d260-4def-a941-eb0e2761becd,1,BIOMETRIC_AUTHENTICATED,MANUAL_BY_BIOMETRIC_FACE,9,9be3c172-d260-4def-a941-eb0e2761becd_selfie.jpeg,9be3c172-d260-4def-a941-eb0e2761becd_transaction_selfie.jpeg,0.7,0.3,0.71,0.86
83e57219-6fae-4bb7-8e67-2b0271fc1adb,1,BIOMETRIC_AUTHENTICATED,MANUAL_BY_BIOMETRIC_FACE,10,83e57219-6fae-4bb7-8e67-2b0271fc1adb_selfie.jpeg,83e57219-6fae-4bb7-8e67-2b0271fc1adb_transaction_selfie.jpeg,0.9,0.29,0.87,0.87
e23886d9-755f-4b1c-a523-50561f6493a7,1,BIOMETRIC_NEEDS_REVALIDATION,MANUAL_BY_BIOMETRIC_FACE,10,e23886d9-755f-4b1c-a523-50561f6493a7_selfie.jpeg,e23886d9-755f-4b1c-a523-50561f6493a7_transaction_selfie.jpeg,0.74,0.35,0.86,0.85
f6a47b32-c401-4fca-b945-7a70f63292dd,1,BIOMETRIC_NEEDS_REVALIDATION,MANUAL_BY_BIOMETRIC_FACE,10,f6a47b32-c401-4fca-b945-7a70f63292dd_selfie.jpeg,f6a47b32-c401-4fca-b945-7a70f63292dd_transaction_selfie.jpeg,0.13,0.32,0.1,0.87
4f736972-1899-4d71-8d7f-c2a71ade52d7,1,BIOMETRIC_AUTHENTICATED,MANUAL_BY_BIOMETRIC_FACE,10,4f736972-1899-4d71-8d7f-c2a71ade52d7_selfie.jpeg,4f736972-1899-4d71-8d7f-c2a71ade52d7_transaction_selfie.jpeg,0.68,0.3,0.75,0.87
a96fcd10-2e5c-45e4-b912-bba073e377b4,0,SUSPECTED_FRAUD,MANUAL_BY_BIOMETRIC_FACE,9,a96fcd10-2e5c-45e4-b912-bba073e377b4_selfie.jpeg,a96fcd10-2e5c-45e4-b912-bba073e377b4_transaction_selfie.jpeg,0.23,0.3,0.86,0.81
4a52962e-e90d-4579-80c7-7ed8f392f5eb,1,BIOMETRIC_AUTHENTICATED,MANUAL_BY_BIOMETRIC_FACE,9,4a52962e-e90d-4579-80c7-7ed8f392f5eb_selfie.jpeg,4a52962e-e90d-4579-80c7-7ed8f392f5eb_transaction_selfie.jpeg,0.16,0.46,0.22,0.87
fc1cd595-e85e-4a0a-9b58-f96c2dd95949,1,BIOMETRIC_AUTHENTICATED,MANUAL_BY_BIOMETRIC_FACE,10,fc1cd595-e85e-4a0a-9b58-f96c2dd95949_selfie.jpeg,fc1cd595-e85e-4a0a-9b58-f96c2dd95949_transaction_selfie.jpeg,0.77,0.27,0.84,0.86
